student_code,full_name,email,date_of_birth
3122560001,Nguyen Van A,3122560001@gmail.com,2003-01-15
3122560002,Tran Thi B,3122560002@gmail.com,2003-02-20
3122560003,Le Van C,3122560003@gmail.com,2003-03-10
3122560004,Pham Thi D,3122560004@gmail.com,2003-04-05
3122560005,Hoang Van E,3122560005@gmail.com,2003-05-25
3122560006,Do Thi F,3122560006@gmail.com,2003-06-30
3122560007,Ngo Van G,3122560007@gmail.com,2003-07-12
3122560008,Huynh Thi H,3122560008@gmail.com,2003-08-18
3122560009,Duong Van I,3122560009@gmail.com,2003-09-22
3122500010,Dang Thi K,3122500010@gmail.com,2003-10-28
